epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,32790.5,0.60625,0.73674,1.06915,0.7432,0.78585,0.83253,0.66429,0.71389,0.78012,1.24261,0.007129,0.007129,0.007129
60,33319.1,0.60761,0.73675,1.07275,0.74901,0.78749,0.83627,0.66649,0.71185,0.77853,1.24155,0.0070795,0.0070795,0.0070795
61,33847.3,0.60659,0.73817,1.07241,0.78978,0.74593,0.83551,0.66499,0.71186,0.77691,1.24169,0.00703,0.00703,0.00703
62,34375.3,0.60804,0.72889,1.07287,0.77272,0.76588,0.83355,0.66318,0.71045,0.77797,1.24123,0.0069805,0.0069805,0.0069805
63,34896.8,0.60003,0.72327,1.06665,0.74546,0.78688,0.82982,0.6604,0.70826,0.77817,1.23758,0.006931,0.006931,0.006931
64,35419.7,0.59589,0.70775,1.06297,0.73069,0.794,0.82698,0.65921,0.71278,0.77967,1.24345,0.0068815,0.0068815,0.0068815
65,35940,0.59479,0.71325,1.06402,0.79698,0.7326,0.83108,0.65836,0.71812,0.78062,1.2515,0.006832,0.006832,0.006832
66,36460.7,0.59364,0.70854,1.0624,0.71878,0.80779,0.83015,0.65928,0.71707,0.7781,1.2513,0.0067825,0.0067825,0.0067825
67,36980.7,0.588,0.70706,1.05865,0.76658,0.76398,0.82885,0.65881,0.71414,0.78091,1.24936,0.006733,0.006733,0.006733
68,37500.7,0.58732,0.69762,1.05736,0.7543,0.77018,0.8308,0.6582,0.71839,0.78389,1.25676,0.0066835,0.0066835,0.0066835
69,38020.7,0.58411,0.69755,1.05671,0.71702,0.80496,0.82867,0.65715,0.72161,0.78385,1.26373,0.006634,0.006634,0.006634
